Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,4,0.07839948839666668,0.0
1,4,0.08446913514000001,0.0
2,4,0.08579878923666667,0.0
3,4,0.09575912328666665,0.0
4,4,0.08790312309333335,0.0
5,4,0.10052488017333334,0.00032495614
6,4,0.10506701068333334,0.005342617443333332
7,4,0.156674294,0.0313765604
8,4,0.19628538810333335,0.06339154703000001
9,4,0.22036586438000003,0.09364519227333337
10,4,0.2314926728866667,0.11575873391333337
11,4,0.24632615221,0.12894726676666665
12,4,0.2399530364466667,0.12918674841666666
13,4,0.2532682777466666,0.12092968984333334
14,4,0.24803063154666663,0.10192273300666668
15,4,0.2626385500399999,0.08073584825333331
16,4,0.2825681324733333,0.05321654628999999
17,4,0.26524937075666666,0.021858405189999996
18,4,0.23000654029333337,0.004057888443333334
19,4,0.19930027735333336,0.0
20,4,0.13771628175666664,0.0
21,4,0.10955846973666665,0.0
22,4,0.09442451315666665,0.0
23,4,0.08714036698000001,0.0
