Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,8,0.0911102516516129,0.0
1,8,0.08989917545806451,0.0
2,8,0.08065699029354839,0.0
3,8,0.07162635977741935,0.0
4,8,0.06110268695483872,0.0
5,8,0.07234697410967741,0.0004931285193548386
6,8,0.057157412906451606,0.007291282903225806
7,8,0.0607343325548387,0.03747794044516128
8,8,0.07615897168387097,0.06818115423870967
9,8,0.08434656949677419,0.09726825759354839
10,8,0.08280201525161289,0.12093025342258064
11,8,0.09170603615806451,0.13565285460322582
12,8,0.14005083803870969,0.14371123878387096
13,8,0.16965539511935485,0.13051883511935483
14,8,0.1700106303483871,0.11313869655161292
15,8,0.17224474750967741,0.0896763548548387
16,8,0.1792519107451613,0.061894294406451604
17,8,0.1343126550096774,0.028175824154838703
18,8,0.11654898335161291,0.0059125642741935484
19,8,0.10730136113548386,0.00016570253548387097
20,8,0.11151972243870968,0.0
21,8,0.08483454784838709,0.0
22,8,0.05810590470645161,0.0
23,8,0.09466585696451615,0.0
