Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,12,0.4929168870612902,0.0
1,12,0.4866933292419355,0.0
2,12,0.4767036858516129,0.0
3,12,0.47885621894193564,0.0
4,12,0.4948130529645162,0.0
5,12,0.47380169476129025,0.0
6,12,0.47528116996774206,0.0
7,12,0.4801578716612903,0.0026159456903225814
8,12,0.4747659884774193,0.01875469462580645
9,12,0.4434001228193548,0.037295451516129015
10,12,0.5179181148225807,0.06226092662258065
11,12,0.5040364435612903,0.06137712392580645
12,12,0.41637129523870964,0.06791762512258065
13,12,0.38985131045483873,0.06813570501612902
14,12,0.45840688125806445,0.048841860361290325
15,12,0.4626785000516129,0.028714653970967747
16,12,0.4530565254258064,0.007923115800000002
17,12,0.4486042031709678,0.0001590449870967742
18,12,0.4545835986548386,0.0
19,12,0.4820598400709676,0.0
20,12,0.4898070711064516,0.0
21,12,0.5073261806741935,0.0
22,12,0.4932851753387095,0.0
23,12,0.49087742514838706,0.0
