Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,2,0.21945296501785716,0.0
1,2,0.21901473576428573,0.0
2,2,0.20158911071785718,0.0
3,2,0.18776215724285714,0.0
4,2,0.17111320140714287,0.0
5,2,0.17884414485,0.0
6,2,0.18965803528214287,1.9023457142857142e-05
7,2,0.20830484993571427,0.005856790749999999
8,2,0.19117539831428573,0.029826950889285712
9,2,0.21187826865000003,0.059864026110714286
10,2,0.2744114973357143,0.0893203841
11,2,0.30536947435,0.11065663630714284
12,2,0.2534975142821429,0.12311767942499999
13,2,0.3061849359357143,0.12241839575357145
14,2,0.3677522947357143,0.1147821320107143
15,2,0.3827955193642857,0.08488583467857144
16,2,0.3338150460357143,0.048416494025
17,2,0.3029809852714286,0.012437321939285715
18,2,0.2995532997642857,3.7912110714285706e-05
19,2,0.29301392085,0.0
20,2,0.300998896875,0.0
21,2,0.28763662707500004,0.0
22,2,0.259392387275,0.0
23,2,0.25597396832857144,0.0
