Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,1,0.3300433425645161,0.0
1,1,0.3258338389967741,0.0
2,1,0.31294402108709685,0.0
3,1,0.3089053158096774,0.0
4,1,0.3402395478516129,0.0
5,1,0.344732166216129,0.0
6,1,0.3454449256354839,0.0
7,1,0.3433967590483871,0.0020193204258064515
8,1,0.33982010787419353,0.019030040338709673
9,1,0.3432707734290323,0.04398740801935482
10,1,0.4071206480806452,0.07484967301290323
11,1,0.4151368207387097,0.10019125838387094
12,1,0.34545656852258066,0.10161466379354835
13,1,0.35799077663870976,0.0998792104
14,1,0.3536052353870968,0.08132825679032259
15,1,0.3200500810967742,0.05199289723870967
16,1,0.29663324770645155,0.018780354429032253
17,1,0.2933383843451613,0.0025491228612903225
18,1,0.2967594229322581,0.0
19,1,0.3247388505580645,0.0
20,1,0.28975818344838716,0.0
21,1,0.29904860255161286,0.0
22,1,0.316969406516129,0.0
23,1,0.3195886633419355,0.0
