Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,7,0.10870878871935484,0.0
1,7,0.11964134002258063,0.0
2,7,0.08415796654516129,0.0
3,7,0.09132506765161291,0.0
4,7,0.07166963158709676,0.0
5,7,0.07410685719032258,0.0038026190741935486
6,7,0.1027329106096774,0.005969580883870968
7,7,0.13446788850322583,0.03166587790645161
8,7,0.1850134529258065,0.05884281569354838
9,7,0.23156296483225805,0.08730637859677418
10,7,0.236025276883871,0.10421010596129031
11,7,0.24348512544193548,0.11611985898064514
12,7,0.23510247565161294,0.12388370477741938
13,7,0.24044611044838704,0.12053404627096774
14,7,0.24043989171612903,0.10040545050645164
15,7,0.22530408019032258,0.07742424406451613
16,7,0.2188983380032258,0.05118503759354839
17,7,0.1990268241645161,0.024355399593548377
18,7,0.19562697402580642,0.005736350990322579
19,7,0.1861043106903226,0.0008776673451612902
20,7,0.15294982443548386,0.0
21,7,0.12062937953548389,0.0
22,7,0.13160299811612902,0.0
23,7,0.11721980711612902,0.0
