Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,6,0.08030505748333333,0.0
1,6,0.09941702235999998,0.0
2,6,0.11590189651333335,0.0
3,6,0.10510240916333333,0.0
4,6,0.09239426203333334,0.0
5,6,0.07607700205333331,0.004202156116666665
6,6,0.08976530051666667,0.006008787616666666
7,6,0.12909790174999997,0.031475110263333335
8,6,0.18664599946999996,0.05937627420666666
9,6,0.19556296776666668,0.08545914113666667
10,6,0.21191444942,0.10706951620333333
11,6,0.2479116186366666,0.12137714286999998
12,6,0.22367675162999995,0.11992657632666663
13,6,0.22316815608999996,0.11020655082333333
14,6,0.21574219219666668,0.09251989354666666
15,6,0.22660633151999995,0.07343082506333334
16,6,0.21671231677,0.05135915560333335
17,6,0.2081375523166667,0.023690857453333332
18,6,0.17178533080666666,0.005339561953333333
19,6,0.12179982990666664,0.0007681917233333334
20,6,0.10033985933333334,0.0
21,6,0.07394027521,0.0
22,6,0.06877308636,0.0
23,6,0.08071661621666666,0.0
