Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,3,0.2973930483838708,0.0
1,3,0.2970814481354839,0.0
2,3,0.29489810847419357,0.0
3,3,0.29277936296451623,0.0
4,3,0.2924625095967742,0.0
5,3,0.2908844319709677,0.0
6,3,0.27739279409677425,0.0015980398806451617
7,3,0.2698876173612903,0.018966543867741933
8,3,0.2929163388935484,0.04925926102903224
9,3,0.3096454662,0.07888642695806453
10,3,0.3253635648225806,0.0985397537967742
11,3,0.34131802010967743,0.12313991898064514
12,3,0.30600639973225807,0.13618820574838708
13,3,0.3124711372419354,0.12610825186774194
14,3,0.33828621762903227,0.1002096663451613
15,3,0.3235396230290322,0.0794280608
16,3,0.32894012929032257,0.05078261248064517
17,3,0.3209179005645161,0.019850960348387094
18,3,0.3318972402709677,0.0009857988161290324
19,3,0.30507319150967754,0.0
20,3,0.2829002082645161,0.0
21,3,0.2925703515419354,0.0
22,3,0.271184235732258,0.0
23,3,0.28811298918064515,0.0
