Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,5,0.08996354386451612,0.0
1,5,0.08765821563548386,0.0
2,5,0.12300804479032258,0.0
3,5,0.11027566019999999,0.0
4,5,0.08550389742903224,0.0
5,5,0.08152614408387095,0.006178704461290321
6,5,0.0951188343516129,0.006213185690322582
7,5,0.11077988752258063,0.03799680592580645
8,5,0.14666406763225806,0.07102422418387098
9,5,0.17062776286774192,0.09983165492580647
10,5,0.17587297768387092,0.12929126447419356
11,5,0.17209994862580644,0.1477776443580645
12,5,0.15150943717419355,0.1448061944903226
13,5,0.16386817220322583,0.13629427999999996
14,5,0.18061155619354835,0.10936041724838708
15,5,0.18194281780967736,0.0849845159709677
16,5,0.1368933964225807,0.05419168608387097
17,5,0.11570783310645162,0.024815518548387098
18,5,0.1077126539483871,0.006894963341935484
19,5,0.14082760710645162,0.00019694010000000003
20,5,0.1427212602,0.0
21,5,0.10705730110967743,0.0
22,5,0.09761187472580644,0.0
23,5,0.09777820328709678,0.0
