Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,11,0.22614566529000008,0.0
1,11,0.2146271834,0.0
2,11,0.22782569695333335,0.0
3,11,0.23754448853666674,0.0
4,11,0.2609288238733333,0.0
5,11,0.2798262961866667,0.0
6,11,0.29894445902000005,0.00023069107666666669
7,11,0.35818274979333325,0.01320953463333333
8,11,0.32615972907333324,0.038995547373333335
9,11,0.33526136679333335,0.06328069002333334
10,11,0.3700666959,0.09343902288666668
11,11,0.4175622055333334,0.10071906848999998
12,11,0.39775726044666665,0.10170009726666666
13,11,0.44325940597333335,0.09367621497666669
14,11,0.41965975947666656,0.06721456658333332
15,11,0.38102680554666674,0.039510648803333326
16,11,0.33510940327333333,0.01148325168
17,11,0.30642290527,0.00034046921
18,11,0.27273803182333334,0.0
19,11,0.22208454121333338,0.0
20,11,0.23636168024,0.0
21,11,0.25009487194,0.0
22,11,0.2360635512533333,0.0
23,11,0.23650818072333335,0.0
