Hour,Month,Pwt(kWh/unit),Ppv(kWh/unit)
0,10,0.09791667856774194,0.0
1,10,0.11842587915161293,0.0
2,10,0.1191861768483871,0.0
3,10,0.12213435888709676,0.0
4,10,0.12655648273870967,0.0
5,10,0.12721432515483871,0.0
6,10,0.16358036718709681,0.0015754885161290322
7,10,0.1769322630354839,0.016655715393548386
8,10,0.16576606003225808,0.04276134529677419
9,10,0.18713085570000002,0.07065490060967743
10,10,0.21763264840000004,0.08408057342258067
11,10,0.26417625034838704,0.09717297909032258
12,10,0.22077263166774197,0.09452304732903224
13,10,0.2464398576709678,0.08547350488064517
14,10,0.2527912962548387,0.07228946207419355
15,10,0.24056000258064517,0.047684449596774196
16,10,0.21481845659677418,0.020270430861290323
17,10,0.19413846992903225,0.003018344967741935
18,10,0.17074916241935487,0.0
19,10,0.1390152567,0.0
20,10,0.14076691385483872,0.0
21,10,0.13758366691290322,0.0
22,10,0.12508207538064514,0.0
23,10,0.10859956805161289,0.0
