Time,Month,Hour,Temperature(2m),Tc(the PV cell temperature)[ÅãC],Mean Sea Level Pressure[hpa],Shortwave Radiation[W/m2],Wind Speed(10m)[m/s],Wind Speed(80m)[m/s],Ppv(the output of the PV array)[W],Ppv(the output of the PV array)[kW],Pwt[kW],,,,,,
2017/1/1 0:00,1,0,3.38,3.38,1031.9,0,1.66,0.92,0,0,0,,,,,,
2017/1/1 1:00,1,1,3.39,3.39,1031.1,0,1.78,1,0,0,0,,,,,,
2017/1/1 2:00,1,2,3.45,3.45,1029.9,0,1.57,1.03,0,0,0,,,,,,
2017/1/1 3:00,1,3,2.98,2.98,1030.2,0,1.8,0.7,0,0,0,,,,,,
2017/1/1 4:00,1,4,2.49,2.49,1029.9,0,1.88,1.26,0,0,0,,,,,,
2017/1/1 5:00,1,5,2.25,2.25,1028.8,0,2.18,1.34,0,0,0,,,,,,
2017/1/1 6:00,1,6,1.89,1.89,1028.5,0,2.31,1.92,0,0,0,,,,,,
2017/1/1 7:00,1,7,1.65,1.65,1028.1,0,2.46,2.64,0,0,0.007221584,,,,,,
2017/1/1 8:00,1,8,1.75,1.762230674,1028.2,20.47,2.56,2.66,10.79716697,0.010797167,0.014871183,,,,,,
2017/1/1 9:00,1,9,2.12,2.20179915,1027.3,136.17,2.42,2.48,72.1345435,0.072134544,0,,,,,,
2017/1/1 10:00,1,10,3.23,3.375122151,1027,241.19,1.97,2.33,127.6100197,0.12761002,0,,,,,,
2017/1/1 11:00,1,11,4.29,4.478948185,1025.7,311.5,1.57,2.42,165.6993305,0.16569933,0,,,,,,
2017/1/1 12:00,1,12,4.59,4.796517387,1022.7,338.2,1.1,1.4,180.9658303,0.18096583,0,,,,,,
2017/1/1 13:00,1,13,5.41,5.604932471,1023,318.62,0.36,0.32,170.4756506,0.170475651,0,,,,,,
2017/1/1 14:00,1,14,5.61,5.764367707,1022.4,253.65,0.28,0.4,134.9473804,0.13494738,0,,,,,,
2017/1/1 15:00,1,15,5.31,5.400546401,1022.7,150.41,0.1,0.71,79.2259404,0.07922594,0,,,,,,
2017/1/1 16:00,1,16,4.98,4.999748482,1023.1,32.93,1,1.26,17.29645849,0.017296458,0,,,,,,
2017/1/1 17:00,1,17,4.88,4.88,1022.7,0,1.48,1.4,0,0,0,,,,,,
2017/1/1 18:00,1,18,4.26,4.26,1022.4,0,1.75,1.71,0,0,0,,,,,,
2017/1/1 19:00,1,19,3.47,3.47,1022.9,0,1.94,2.22,0,0,0,,,,,,
2017/1/1 20:00,1,20,3.2,3.2,1023.4,0,1.77,2.02,0,0,0,,,,,,
2017/1/1 21:00,1,21,3.02,3.02,1022.9,0,1.7,1.75,0,0,0,,,,,,
2017/1/1 22:00,1,22,2.9,2.9,1022.9,0,1.56,2.05,0,0,0,,,,,,
2017/1/1 23:00,1,23,2.68,2.68,1023.8,0,1.35,1.35,0,0,0,,,,,,
2017/1/2 0:00,1,0,2.43,2.43,1023.3,0,1.08,1.12,0,0,0,,,,,,
2017/1/2 1:00,1,1,2.34,2.34,1023.6,0,0.85,1.36,0,0,0,,,,,,
2017/1/2 2:00,1,2,2.14,2.14,1023,0,0.72,2.6,0,0,0,,,,,,
2017/1/2 3:00,1,3,1.99,1.99,1023.6,0,1.32,3.52,0,0,0,,,,,,
