Time,Month,Hour,Pwt(kWh/unit),Ppv(kWh/unit)
2017/01/01 0:00,1,0,0,0
2017/01/01 1:00,1,1,0,0
2017/01/01 2:00,1,2,0,0
2017/01/01 3:00,1,3,0,0
2017/01/01 4:00,1,4,0,0
2017/01/01 5:00,1,5,0,0
2017/01/01 6:00,1,6,0,0
2017/01/01 7:00,1,7,0.0072215839,0.0022398088
2017/01/01 8:00,1,8,0.0148711827,0.0294507463
2017/01/01 9:00,1,9,0,0.0774269718
2017/01/01 10:00,1,10,0,0.0677894388
2017/01/01 11:00,1,11,0,0.1319455165
2017/01/01 12:00,1,12,0,0.1592461905
2017/01/01 13:00,1,13,0,0.1450985967
2017/01/01 14:00,1,14,0,0.1143649434
2017/01/01 15:00,1,15,0,0.0672538961
2017/01/01 16:00,1,16,0,0.0160466838
2017/01/01 17:00,1,17,0,0.0011311778
2017/01/01 18:00,1,18,0,0
2017/01/01 19:00,1,19,0,0
2017/01/01 20:00,1,20,0,0
2017/01/01 21:00,1,21,0,0
2017/01/01 22:00,1,22,0,0
2017/01/01 23:00,1,23,0,0
2017/01/02 0:00,1,0,0,0
2017/01/02 1:00,1,1,0,0
2017/01/02 2:00,1,2,0,0
2017/01/02 3:00,1,3,0,0
2017/01/02 4:00,1,4,0.0651649841,0
2017/01/02 5:00,1,5,0,0
2017/01/02 6:00,1,6,0,0
2017/01/02 7:00,1,7,0.0223795457,0.0010997584
2017/01/02 8:00,1,8,0,0.0059786121
2017/01/02 9:00,1,9,0.048426728,0.0086496904
2017/01/02 10:00,1,10,0.2995170508,0.0216109921
2017/01/02 11:00,1,11,0.4620655835,0.0264185737
2017/01/02 12:00,1,12,0.3368838355,0.0210105422
2017/01/02 13:00,1,13,0.3757573557,0.0048347348
2017/01/02 14:00,1,14,0.450886928,0.0064641323
2017/01/02 15:00,1,15,0.3845833319,0.0103331001
2017/01/02 16:00,1,16,0.4440691506,0.0032726001
2017/01/02 17:00,1,17,0.3028549379,0.0005578087
