city,crime_name,2010,2011,2012,2013,2014,avg,Latitude,Longitude
,,,,,,,,,
Agra,Acid attack,,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Agrarian riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Arson,0.1,0.1,0,0.1,0.3,0.1,27.18,78.01
,,,,,,,,,
Agra,Assault on women with intent to outrage her modesty,6.7,23.6,7.6,20.8,25.7,16.9,27.18,78.01
,,,,,,,,,
Agra,Attempt to acid attack,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Attempt to commit culpable homicide not amounting to murder,,,,,4.1,4.1,27.18,78.01
,,,,,,,,,
Agra,Attempt to commit murder,4.6,7.2,4.6,5.2,5,5.3,27.18,78.01
,,,,,,,,,
Agra,Attempt to commit rape,,,,,1.1,1.1,27.18,78.01
,,,,,,,,,
Agra,Auto theft,106,147.9,143.4,116.8,141.2,131.1,27.18,78.01
,,,,,,,,,
Agra,Burglary,10,13.7,17,14.3,13.5,13.7,27.18,78.01
,,,,,,,,,
Agra,Caste conflict riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Causing death by negligence,16.4,26.8,9.7,11.1,10.8,15,27.18,78.01
,,,,,,,,,
Agra,Causing injuries under rash driving or road rage,,,,,17.2,17.2,27.18,78.01
,,,,,,,,,
Agra,Cheating,20.1,18.9,15.6,18.9,17.1,18.1,27.18,78.01
,,,,,,,,,
Agra,Communal riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Counterfeit currency & bank notes total,,,,,0.3,0.3,27.18,78.01
,,,,,,,,,
Agra,Counterfeiting,4.4,2,0.6,0.7,0.3,1.6,27.18,78.01
,,,,,,,,,
Agra,Counterfeiting currency - notes or bank notes,,,,,0.3,0.3,27.18,78.01
,,,,,,,,,
Agra,Counterfeiting government stamp,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Criminal breach of trust,9,8,7.4,7.5,4.2,7.2,27.18,78.01
,,,,,,,,,
Agra,Criminal trespass or burglary,,,,,2.4,2.4,27.18,78.01
,,,,,,,,,
Agra,Cruelty by husband or his relatives,35.4,35.1,28.6,44.9,45.6,37.9,27.18,78.01
,,,,,,,,,
Agra,Culpable homicide not amounting to murder,2,1.6,1.3,0.7,1,1.3,27.18,78.01
,,,,,,,,,
Agra,Custodial rape,0,0,0,0,0,0,27.18,78.01
,,,,,,,,,
Agra,Dacoity,0.2,0.3,0.5,0.2,0.4,0.3,27.18,78.01
,,,,,,,,,
Agra,Dacoity with murder,,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Deaths due to other causes,,,,,1.2,1.2,27.18,78.01
,,,,,,,,,
Agra,Deaths due to rash or negligent driving,,,,,9.6,9.6,27.18,78.01
,,,,,,,,,
Agra,Disclosure of identity of victims,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Dowry deaths,4.9,7,3.9,6,4.5,5.3,27.18,78.01
,,,,,,,,,
Agra,Extortion,,,,,2.4,2.4,27.18,78.01
,,,,,,,,,
Agra,Forgery,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Gang rape,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Gang rape other than custodial,,,,,0.2,0.2,27.18,78.01
,,,,,,,,,
Agra,Grievous hurt,,,,,9.3,9.3,27.18,78.01
,,,,,,,,,
Agra,House trespass & house breaking,,,,,11.1,11.1,27.18,78.01
,,,,,,,,,
Agra,Human trafficking,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Hurt,20.3,19.7,10.2,6,9.4,13.1,27.18,78.01
,,,,,,,,,
Agra,Importation of girls from foreign country,0,0,0,0,0,0,27.18,78.01
,,,,,,,,,
Agra,Imputation or assertions prejudicial to national integration,,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Industrial riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Insult to modesty of women at office premises,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Insult to modesty of women at other places,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Insult to modesty of women in other places related to work,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Insult to modesty of women in public transport system,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Insult to the modesty of women,7.6,0,5.3,0,0,2.6,27.18,78.01
,,,,,,,,,
Agra,Kidnapping,,,,,11.3,11.3,27.18,78.01
,,,,,,,,,
Agra,Kidnapping & abduction,12.9,16.4,11.9,16.9,19.1,15.4,27.18,78.01
,,,,,,,,,
Agra,Kidnapping & abduction in order to murder,,,,,4.8,4.8,27.18,78.01
,,,,,,,,,
Agra,Kidnapping & abduction of others,2,2.6,,3.2,0,2.6,27.18,78.01
,,,,,,,,,
Agra,Kidnapping & abduction of women and girls,18,30,20.6,29.9,0,24.6,27.18,78.01
,,,,,,,,,
Agra,Kidnapping & abduction of women to compel her for marriage,,,,,5.7,5.7,27.18,78.01
,,,,,,,,,
Agra,Kidnapping for ransom,,,,,0.4,0.4,27.18,78.01
,,,,,,,,,
Agra,Kidnapping of others,,,2.4,,0,2.4,27.18,78.01
,,,,,,,,,
Agra,Making or possessing materials for forged currency or bank notes,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Making or using documents resembling currency notes or bank notes,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Making preparation and assembly for committing dacoity,,,,,0.3,0.3,27.18,78.01
,,,,,,,,,
Agra,Murder,4.4,6.4,4.4,3.5,4.5,4.6,27.18,78.01
,,,,,,,,,
Agra,Offences against state,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Offences promoting enmity between different groups,,,,,0.2,0.2,27.18,78.01
,,,,,,,,,
Agra,Offences related to counterfeit coin,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Other IPC crimes,83.3,111.2,71.5,79.8,44.6,78.1,27.18,78.01
,,,,,,,,,
Agra,Other cases of assault on women to outrage her modesty,,,,,2.6,2.6,27.18,78.01
,,,,,,,,,
Agra,Other caste conflict riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Other kidnapping & abduction,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Other rape,1.6,7.6,4.1,4.9,0.1,3.7,27.18,78.01
,,,,,,,,,
Agra,Other rape other than custodial,,,,,4.5,4.5,27.18,78.01
,,,,,,,,,
Agra,Other theft,23.2,34.5,32.4,27.9,33.3,30.3,27.18,78.01
,,,,,,,,,
Agra,Political riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Possession of forged or counterfeiting currency or bank notes,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Preparation & assembly for dacoity,0,0,0.3,0,0,0.1,27.18,78.01
,,,,,,,,,
Agra,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Rape,1.6,7.6,4.1,4.9,4.7,4.6,27.18,78.01
,,,,,,,,,
Agra,Rape other than custodial,,,,,4.7,4.7,27.18,78.01
,,,,,,,,,
Agra,Riots,9.8,23.9,13,13,13.9,14.7,27.18,78.01
,,,,,,,,,
Agra,Riots others,,,,,13.9,13.9,27.18,78.01
,,,,,,,,,
Agra,Robbery,2.8,7.7,7.8,7.3,8.5,6.8,27.18,78.01
,,,,,,,,,
Agra,SCs-STs vs Non-SCs-STs riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sectarian riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sedition,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sexual harassment,,,,,19.7,19.7,27.18,78.01
,,,,,,,,,
Agra,Sexual harassment and molestation of women,14.3,23.6,12.9,20.8,25.7,19.5,27.18,78.01
,,,,,,,,,
Agra,Stalking,,,,,2.2,2.2,27.18,78.01
,,,,,,,,,
Agra,Student riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Theft,129.1,182.4,175.8,144.8,174.5,161.3,27.18,78.01
,,,,,,,,,
Agra,Total cognizable crimes under IPC,363.5,480,374.4,365.1,389,394.4,27.18,78.01
,,,,,,,,,
Agra,Unlawful assembly,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Unnatural offences,,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
