Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd]
2019,4,15,0,0,10.62,1016.3,0,5.37,294.18,8.14,294.68
2019,4,15,1,0,10.35,1016.7,0,5.63,303.41,8.94,306.36
2019,4,15,2,0,9.28,1017,0,5.38,313.49,8.49,315
2019,4,15,3,0,8.44,1017.2,0,5,323.13,8.29,326.31
2019,4,15,4,0,7.77,1017.6,0,4.57,331.19,7.78,332.45
2019,4,15,5,0,7.1,1018.2,0,4.07,335.32,7.48,337.2
2019,4,15,6,0,6.76,1018.7,0.89,3.73,339.62,7.02,342.6
2019,4,15,7,0,9.72,1018.9,115.7,3.86,343.44,5.75,346.93
2019,4,15,8,0,12.25,1019.3,329.3,5.38,350.36,5.71,348.89
2019,4,15,9,0,13.35,1019.8,531.33,5.46,351.57,5.57,350.71
2019,4,15,10,0,14.42,1020.2,704.88,5.57,350.71,5.38,350.36
2019,4,15,11,0,14.99,1020.3,835.71,5.75,346.93,5.58,345.47
2019,4,15,12,0,15.32,1020.6,914.03,5.8,345,5.39,344.93
2019,4,15,13,0,15.5,1020.9,935.39,5.76,342.82,5.47,341.9
2019,4,15,14,0,15.4,1020.5,895.34,5.6,341.24,5.19,340.87
2019,4,15,15,0,15.16,1020.4,800.11,5.19,340.87,4.87,340.82
2019,4,15,16,0,14.64,1020.1,651.48,4.74,341.57,4.4,342.8
2019,4,15,17,0,13.85,1020.1,463.69,4.11,341.57,3.98,342.47
2019,4,15,18,0,12.45,1020.5,252.76,3.07,340.97,3.32,344.29
2019,4,15,19,0,10.05,1020.8,52.51,1.84,330.64,2.09,343.3
2019,4,15,20,0,9.55,1021.6,0,1.2,311.63,1.17,340.02
2019,4,15,21,0,9.79,1020.7,0,1.3,360,2.01,26.57
2019,4,15,22,0,9.67,1021,0,1.08,21.8,2.2,39.47
2019,4,15,23,0,8.94,1021.2,0,0.98,66.04,2.25,57.72
2019,4,16,0,0,8.4,1021,0,1.22,99.46,2.21,71.57
2019,4,16,1,0,7.94,1021.1,0,1.43,114.78,2.33,80.13
2019,4,16,2,0,7.36,1020.9,0,1.61,119.74,2.3,87.51
2019,4,16,3,0,7.19,1020.7,0,1.84,119.36,2.3,90
2019,4,16,4,0,7.15,1020.4,0,2.15,117.76,2.41,94.76
2019,4,16,5,0,7.22,1020.7,0,2.28,118.81,2.43,99.46
2019,4,16,6,0,7.49,1020.8,1.78,2.42,119.74,2.57,103.5
2019,4,16,7,0,10.65,1020.7,125.49,2.06,112.83,2.61,94.4
2019,4,16,8,0,14.7,1020.9,317.73,2.02,98.53,2.5,92.29
2019,4,16,9,0,17.86,1020.6,482.38,2,90,2,87.14
2019,4,16,10,0,19.71,1020.4,608.76,1.94,78.11,1.91,83.99
2019,4,16,11,0,20.99,1019.9,729.8,2.25,69.15,2.26,77.2
2019,4,16,12,0,22.04,1019.2,807.23,2.47,68.63,2.43,80.54
2019,4,16,13,0,22.77,1018.7,895.34,2.26,77.2,2.3,87.51
2019,4,16,14,0,23.07,1018,878.43,1.84,77.47,1.8,90
2019,4,16,15,0,23.03,1017.5,768.96,1.3,85.6,1.2,90
2019,4,16,16,0,21.93,1017.2,623.89,0.81,209.74,1.06,228.81
2019,4,16,17,0,18.49,1017.9,372.02,3.37,258.02,5.02,265.43
2019,4,16,18,0,15.62,1018.7,207.37,4.31,266.01,6.2,268.15
2019,4,16,19,0,12.91,1018.8,53.4,2.9,268.03,5.64,262.87
2019,4,16,20,0,12.97,1019.1,0,1.7,270,4.1,270
2019,4,16,21,0,13.56,1017.4,0,0.36,213.69,0.71,225
2019,4,16,22,0,14.7,1017.5,0,1.03,150.95,1.12,169.7
2019,4,16,23,0,15.16,1017.3,0,0.98,156.04,1.3,180
2019,4,17,0,0,14.88,1016.6,0,1.25,151.39,1.51,187.59
2019,4,17,1,0,14.75,1016.4,0,1.26,161.57,1.97,210.47
2019,4,17,2,0,14.38,1016.1,0,1.32,188.75,2.83,225
2019,4,17,3,0,14.43,1015.9,0,1.24,194.04,2.76,226.47
2019,4,17,4,0,13.8,1015.6,0,1.17,160.02,1.8,213.69
2019,4,17,5,0,13.45,1015.8,0,1.22,145.01,1.02,191.31
2019,4,17,6,0,13.09,1015.7,1.78,1.36,107.1,1.02,101.31
2019,4,17,7,0,14.82,1015.2,125.49,1.3,90,2.01,63.43
2019,4,17,8,0,17.94,1015.1,330.19,2.66,34.29,3.05,23.2
2019,4,17,9,0,19.08,1014.9,517.09,3.62,27.98,3.71,27.26
2019,4,17,10,0,20.07,1014.5,682.63,4.1,34.08,3.83,40.76
2019,4,17,11,0,20.29,1013.8,728.91,3.58,35.91,3.04,43.67
2019,4,17,12,0,21.28,1013.3,517.98,2.11,31.43,1.35,48.01
2019,4,17,13,0,19.36,1013.2,382.7,1.4,4.09,0.72,326.31
2019,4,17,14,0,19.19,1012.8,571.38,0.92,347.47,0.8,270
2019,4,17,15,0,19.81,1012.6,453.01,1.03,299.05,1.53,258.69
2019,4,17,16,0,19.22,1012.4,613.21,1.58,288.43,2.22,262.23
2019,4,17,17,0,18.15,1012.5,440.55,1.68,287.35,2.38,255.38
2019,4,17,18,0,16.56,1012.7,244.75,1.49,289.65,2.06,247.17
2019,4,17,19,0,13.8,1012.9,55.18,0.85,290.56,1.44,236.31
2019,4,17,20,0,13.84,1013.4,0,0.5,233.13,1.21,204.44
2019,4,17,21,0,14.36,1013.2,0,0.71,315,0.76,336.8
2019,4,17,22,0,14.21,1013.7,0,0.76,293.2,0.67,333.43
2019,4,17,23,0,14.01,1013.7,0,0.7,270,0.5,323.13
2019,4,18,0,0,13.18,1013.7,0,0.63,198.43,0.1,180
2019,4,18,1,0,12.75,1013.9,0,1.02,168.69,0.7,180
2019,4,18,2,0,12.59,1013.7,0,1.25,151.39,1.04,196.7
2019,4,18,3,0,12.5,1013.6,0,1.48,151.7,1.55,194.93
2019,4,18,4,0,12.34,1013.5,0,1.84,150.64,2.11,185.44
2019,4,18,5,0,12.1,1014.1,0,1.9,161.57,2.84,190.12
2019,4,18,6,0,11.86,1014.9,1.78,1.77,163.61,2.94,189.78
2019,4,18,7,0,13.26,1015.1,114.81,1.62,158.2,2.79,194.53
2019,4,18,8,0,17.14,1015.2,327.52,1.65,194.04,2.12,199.29
2019,4,18,9,0,19.18,1015.4,521.54,2.48,223.36,2.83,222.14
2019,4,18,10,0,20.35,1014.7,686.19,3.08,215.75,3.22,216.16
2019,4,18,11,0,21.36,1014.4,806.34,3.96,227.05,4.24,225
2019,4,18,12,0,22.16,1014.2,889.11,4.56,244,4.79,241.29
2019,4,18,13,0,22.36,1014.2,905.13,4.74,262.72,5.11,266.63
2019,4,18,14,0,21.96,1014,857.96,4.8,270,5.02,275.71
2019,4,18,15,0,21.26,1014.3,757.39,4.85,278.3,5.17,284.57
2019,4,18,16,0,20.77,1014,620.33,4.61,273.73,4.69,281.07
2019,4,18,17,0,20.02,1013.8,451.23,4.3,271.33,4.59,281.31
2019,4,18,18,0,18.84,1013.7,256.32,3.2,270,3.4,283.63
2019,4,18,19,0,16.2,1013.8,59.63,1.9,273.01,3.08,283.13
2019,4,18,20,0,15.38,1014.5,0,1.51,262.41,2.41,265.24
2019,4,18,21,0,15.24,1015.1,0,1.41,225,2.47,238.24
2019,4,18,22,0,15.24,1015.1,0,2.06,194.04,3.42,200.56
2019,4,18,23,0,14.79,1014.8,0,2.3,180,4.04,188.53
2019,4,19,0,0,14.1,1014.7,0,2.1,182.73,3.79,198.43
2019,4,19,1,0,13.37,1015,0,2,182.86,3.19,212.2
2019,4,19,2,0,12.86,1015.1,0,2,182.86,3.42,217.87
2019,4,19,3,0,12.52,1015.1,0,1.9,180,3.48,219.17
2019,4,19,4,0,12.16,1015.3,0,1.9,176.99,3.76,219.61
2019,4,19,5,0,11.99,1015.4,0,2.1,180,4.74,222.44
2019,4,19,6,0,12.29,1015.6,3.56,2.14,190.78,5.08,233.81
2019,4,19,7,0,14.96,1015.7,136.17,2.13,221.19,4.12,247.17
2019,4,19,8,0,17.11,1016,331.08,3.91,272.94,4,272.86
2019,4,19,9,0,17.67,1016.4,500.18,4.3,287.59,4.27,286.31
2019,4,19,10,0,18.33,1016.6,663.05,4.79,296.03,4.85,291.8
2019,4,19,11,0,18.47,1016.4,789.43,4.88,298.14,4.94,291.37
2019,4,19,12,0,18.52,1016.4,861.52,4.72,306.38,4.29,297.76
2019,4,19,13,0,18.85,1016,898.9,4.6,317.64,4.14,307.15
2019,4,19,14,0,19.02,1015.5,857.07,4.63,327.34,3.96,315
2019,4,19,15,0,18.84,1015.4,763.62,4.61,332.88,4,323.13
2019,4,19,16,0,18.13,1015.4,620.33,5.03,339.04,4.16,335.9
2019,4,19,17,0,17.36,1015.6,446.78,5.25,352.33,4.72,355.14
2019,4,19,18,0,16.06,1015.8,246.53,4.6,360,4.46,9.04
2019,4,19,19,0,13.28,1015.9,55.18,2.71,4.24,3.64,20.92
2019,4,19,20,0,12.75,1016.3,0,1.92,8.97,2.91,26.57
2019,4,19,21,0,12.36,1016.4,0,1.53,11.31,2.39,33.02
2019,4,19,22,0,12.01,1016.6,0,2.7,360,4.55,8.84
2019,4,19,23,0,11.53,1016.5,0,2.67,12.99,4.66,22.71
2019,4,20,0,0,11.03,1016.6,0,2.56,20.56,4.57,28.81
2019,4,20,1,0,10.85,1016.5,0,2.2,30.07,4.19,40.16
2019,4,20,2,0,10.49,1016.4,0,1.86,36.25,4.1,45
2019,4,20,3,0,10.14,1016.3,0,1.72,35.54,3.75,43.92
2019,4,20,4,0,9.82,1016,0,1.7,45,3.47,48.5
2019,4,20,5,0,10.07,1016.1,0,1.62,68.2,3.58,59.86
2019,4,20,6,0,10.05,1016.3,2.67,2.01,84.29,3.76,73.01
2019,4,20,7,0,11.22,1016.2,118.37,2.61,85.6,3.49,76.76
2019,4,20,8,0,14.83,1016.1,331.08,3.1,75.07,3.76,73.01
2019,4,20,9,0,18.3,1015.9,525.99,3.2,75.53,3.28,77.66
2019,4,20,10,0,20.34,1015.6,690.64,0.3,90,0.5,143.13
2019,4,20,11,0,21.54,1014.9,815.24,0.94,302.01,0.91,263.66
2019,4,20,12,0,21.8,1014.5,887.33,2.5,306.87,2.26,282.8
2019,4,20,13,0,20.74,1014.4,904.24,3.69,319.4,3.36,306.53
2019,4,20,14,0,20.35,1014,862.41,4.38,332.85,3.62,332.02
2019,4,20,15,0,20.36,1013.7,766.29,4.18,338.96,3.57,342.07
2019,4,20,16,0,19.88,1013.5,623.89,3.53,334.89,2.91,333.43
2019,4,20,17,0,18.9,1013.5,446.78,3.09,335.1,2.66,325.71
2019,4,20,18,0,17.45,1013.7,246.53,2.55,334.44,1.92,321.34
2019,4,20,19,0,14.9,1013.9,56.07,1.48,331.7,1.17,329.04
2019,4,20,20,0,14.55,1014.1,0,0.6,360,0.45,26.57
2019,4,20,21,0,13.94,1014.3,0,0.3,90,0.5,90
2019,4,20,22,0,14.81,1014.3,0,0.51,78.69,0.73,105.95
2019,4,20,23,0,14.92,1014.1,0,0.85,135,1.39,149.74
2019,4,21,0,0,15.1,1013.5,0,1.14,164.74,1.7,176.63
2019,4,21,1,0,14.64,1013.6,0,1.51,172.41,2.2,182.6
2019,4,21,2,0,13.91,1013.3,0,1.73,169.99,2.42,187.13
2019,4,21,3,0,13.37,1013.2,0,1.73,169.99,2.33,189.87
2019,4,21,4,0,12.92,1013,0,1.63,169.38,2.02,200.22
2019,4,21,5,0,12.53,1013.1,0,1.77,163.61,1.99,197.53
2019,4,21,6,0,12.4,1013.3,3.56,1.71,159.44,1.65,194.04
2019,4,21,7,0,14.73,1013.3,131.72,1.22,145.01,1.3,184.4
2019,4,21,8,0,18.01,1013.6,336.42,0.42,225,0.58,239.04
2019,4,21,9,0,19.32,1013.9,529.55,1.57,296.57,1.71,290.56
2019,4,21,10,0,20.37,1014.1,689.75,1.3,292.62,1.2,274.76
2019,4,21,11,0,21.22,1013.5,801.89,2.51,298.61,2.53,288.43
2019,4,21,12,0,21.45,1013.3,867.75,3.69,302.83,3.62,294.44
2019,4,21,13,0,20.93,1013.3,875.76,4.26,309.29,4.19,303.31
2019,4,21,14,0,20.42,1013.2,818.8,4.53,313.21,4.12,309.09
2019,4,21,15,0,20.18,1013.3,736.03,4.25,311.19,4.16,305.22
2019,4,21,16,0,19.81,1012.9,606.09,3.69,310.6,3.74,304.11
2019,4,21,17,0,19.23,1012.8,435.21,3.04,313.67,3.34,308.93
2019,4,21,18,0,18.21,1012.9,252.76,2.2,320.53,2.4,315
2019,4,21,19,0,16,1012.8,65.86,1.3,327.53,1.91,317.12
2019,4,21,20,0,15.96,1013.1,0,0.89,333.43,1.58,325.3
2019,4,21,21,0,15.9,1013.7,0,0.89,333.43,1.84,330.64
2019,4,21,22,0,16,1013.9,0,1.02,348.69,1.4,355.91
2019,4,21,23,0,16.17,1013.9,0,0.8,360,1.3,360
