,Year,Month,Day,Hour,Minute,Temperature(2m)[ÅãC],Mean Sea Level Pressure[hpa],Radiation[W/m2],Wind Speed(10m)[m/s],Wind Direction(10m),Wind Speed(80m)[m/s],Wind Direction(80m),Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[ÅãC],Ppv(the output of the PV array)[Wh],V_COE[power law],Éœ(air dencity),Wind Speed(30.5)[m/s],Pwt[kW],Pwt_STP[kW]
0,2019,4,15,0,0,10.62,1016.3,0.0,5.37,294.18,8.14,294.68,2019-04-15 00:00:00,0,-180,105,9.414893346880072,-0.9855149654290306,2.9711805668731666,170.2361066531199,-0.7341578890893706,2.3952219137150386,137.23610665311995,1.3564218589250892,0.9958278086631237,1.1029531154958758,0.0,0.0,0.0,0.0,0.0,1.3423746854391723,0.0,0.0,0.0,283.77,283.77,10.620000000000005,0.0,0.20003556876027817,1.2478820814668208,6.711992762344529,0.5535761916224238,0.5434254123918195
1,2019,4,15,1,0,10.35,1016.7,0.0,5.63,303.41,8.94,306.36,2019-04-15 01:00:00,1,-165,105,9.414893346880072,-0.9519004055628577,2.830175848461586,162.15713139670572,-0.7060778649178898,2.354740439469854,134.91668903040332,1.3564218589250892,0.9577394500777819,1.0276435994465587,0.0,0.0,0.0,0.0,0.0,1.3481521696952712,0.0,0.0,0.0,283.5,283.5,10.350000000000023,0.0,0.2223799697010294,1.2495621554855005,7.214512304561784,0.6196216171709773,0.6074419569305328
2,2019,4,15,2,0,9.28,1017.0,0.0,5.38,313.49,8.49,315.0,2019-04-15 02:00:00,2,-150,105,9.414893346880072,-0.8533475026685324,2.593169199520431,148.5776506958388,-0.6237513996463001,2.244329393351699,128.59060207620874,1.3564218589250892,0.8460700330153608,0.8821567864118316,0.0,0.0,0.0,0.0,0.0,1.368089118761778,0.0,0.0,0.0,282.42999999999995,282.42999999999995,9.279999999999973,0.0,0.21938612699880483,1.2546662914593498,6.8711739260791225,0.5744971445703989,0.5609132937493443
3,2019,4,15,3,0,8.44,1017.2,0.0,5.0,323.13,8.29,326.31,2019-04-15 03:00:00,3,-135,105,9.414893346880072,-0.6965724742119297,2.341405545761337,134.15265590064973,-0.4927889058319432,2.0860882720022964,119.52405367747048,1.3564218589250892,0.6684296437062252,0.6764073622716789,0.0,0.0,0.0,0.0,0.0,1.413531161047451,0.0,0.0,0.0,281.59,281.59,8.439999999999998,0.0,0.24314800227788777,1.2586565116233317,6.557322488853236,0.5332480985349968,0.518989028915347
4,2019,4,15,4,0,7.77,1017.6,0.0,4.57,331.19,7.78,332.45,2019-04-15 04:00:00,4,-120,105,9.414893346880072,-0.492259279299383,2.0854797148692117,119.48918592215215,-0.32211526100251403,1.8987593181496374,108.79089524111215,1.3564218589250892,0.43692418111717035,0.424416810264254,0.0,0.0,0.0,0.0,0.0,1.5282084983099917,0.0,0.0,0.0,280.91999999999996,280.91999999999996,7.769999999999982,0.0,0.2558586633093741,1.2621545633287543,6.0789491367096185,0.4703761722532641,0.45652951528422475
5,2019,4,15,5,0,7.1,1018.2,0.0,4.07,335.32,7.48,337.2,2019-04-15 05:00:00,5,-105,105,9.414893346880072,-0.254331524520664,1.8279527628305419,104.73397845946839,-0.12336159200160444,1.6944729689194296,97.08614961808563,1.3564218589250892,0.1673303599427746,0.14335787007478656,0.0,0.0,0.0,0.0,0.0,2.061675116168703,0.0,0.0,0.0,280.25,280.25,7.100000000000023,0.0,0.29266982520712986,1.2659179988002254,5.640717613556362,0.41278002921026463,0.3994378279334124
6,2019,4,15,6,0,6.76,1018.7,0.89,3.73,339.62,7.02,342.6,2019-04-15 06:00:00,6,-90,105,9.414893346880072,0.0009964068302642562,1.5697999197997559,89.94291008450112,0.08992736708434222,1.4807473104182114,84.8405714123115,1.3564218589250892,0.12197944642878228,0.1476157559946711,0.0008900000000000001,0.006029166697030152,0.0008895170637475679,4.829362524321357e-07,0.0008900000000000001,0.011080129026014223,7.128900000000304e-08,0.02329431266924905,0.0008325644540978907,279.90999999999997,279.92959301681975,6.779593016819774,0.13559501830240642,0.30409846668310764,1.2680780793527837,5.2358074938829455,0.3595632706246157,0.347348490354761
7,2019,4,15,7,0,9.72,1018.9,115.7,3.86,343.44,5.75,346.93,2019-04-15 07:00:00,7,-75,105,9.414893346880072,0.25632433818119227,1.3115787594698567,75.14792741662694,0.3032163261702887,1.262730251010496,72.34911404639648,1.3564218589250892,0.4112892528003392,0.42867469618413906,0.1157,0.26990163177324694,0.11220644559622757,0.003493554403772428,0.1157,0.8453513747714181,0.0014975983726399067,0.17376690901033073,0.10837282151796264,282.87,285.42037373305607,12.27037373305609,17.41125407791898,0.1916537028545524,1.255055048618756,4.779749783217653,0.29962425722289154,0.2924490965571476
8,2019,4,15,8,0,12.25,1019.3,329.3,5.38,350.36,5.71,348.89,2019-04-15 08:00:00,8,-60,105,9.414893346880072,0.4942520929599117,1.0538220428601783,60.379555413742764,0.5019699951711987,1.0449212990274046,59.869580357597734,1.3564218589250892,0.6808830739747355,0.6806652481915634,0.32930000000000004,0.4837914097640597,0.22930640830683718,0.09999359169316285,0.32930000000000004,0.9846247738200871,0.06806216290739255,0.5510490001683935,0.318077430985833,285.4,292.88542220919993,19.735422209199953,50.14961525963804,0.02862819093540618,1.2444176398916857,5.554524720414556,0.4014518203973417,0.39518764779768634
9,2019,4,15,9,0,13.35,1019.8,531.33,5.46,351.57,5.57,350.71,2019-04-15 09:00:00,9,-45,105,9.414893346880072,0.6985652878724582,0.7974058561607708,45.68799011702816,0.6726436400006276,0.8330206664510236,47.72856843481874,1.3564218589250892,0.9123885365637897,0.8864146723317158,0.5313300000000001,0.599414717044716,0.23632433671420322,0.29500566328579686,0.5313300000000001,1.038536970143368,0.2614973483574801,0.7451316448613775,0.5423129589817473,286.5,299.2624316347038,26.112431634703796,84.11575211162543,0.009592125473393175,1.2402478549841596,5.518716790715506,0.39674563535118074,0.39186796522329304
