Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd]
2019,4,23,0,0,17,1015.7,0,0.76,113.2,1.88,115.2
2019,4,23,1,0,17.22,1015.8,0,0.92,130.6,1.91,137.12
2019,4,23,2,0,17.07,1015.8,0,1.35,138.01,2.3,145.62
2019,4,23,3,0,17.23,1015.5,0,1.77,137.29,2.69,138.01
2019,4,23,4,0,17.41,1015.3,0,2.05,133.03,2.7,141.01
2019,4,23,5,0,17.17,1015.5,0,2.28,127.87,2.73,151.56
2019,4,23,6,0,17.2,1015.6,3.56,2.42,128.29,2.97,147.38
2019,4,23,7,0,19.26,1015.4,90.78,2.92,120.96,3.44,125.54
2019,4,23,8,0,21.98,1015.1,236.74,3.58,120.14,3.35,116.57
2019,4,23,9,0,23.34,1015.1,377.36,3.22,126.16,2.92,128.05
2019,4,23,10,0,23.39,1015.1,310.61,2.33,120.96,2.39,123.02
2019,4,23,11,0,23.79,1014.8,236.74,2.82,112.93,2.73,113.75
2019,4,23,12,0,23.47,1014.7,251.87,2.25,122.28,2.22,125.84
2019,4,23,13,0,23.21,1015,140.62,1.78,141.84,1.94,145.49
2019,4,23,14,0,22.68,1014.7,101.46,1.26,108.43,1.48,118.3
2019,4,23,15,0,21.26,1014.5,85.44,1.58,124.7,2.3,124.38
2019,4,23,16,0,21.43,1014.5,114.81,3.14,149.35,3.81,150.07
2019,4,23,17,0,20.3,1014.3,72.09,4.58,148.39,6.45,150.26
2019,4,23,18,0,19.27,1013.8,43.61,5.17,137.35,6.94,138.5
2019,4,23,19,0,18.35,1012.9,13.35,5.01,118.61,7.03,119.85
2019,4,23,20,0,18.18,1012.5,0,4.84,119.74,6.69,124.64
2019,4,23,21,0,18.53,1011.8,0,6.39,129.92,9.27,133.69
2019,4,23,22,0,18.43,1011.5,0,4.81,110.7,6.63,113.09
2019,4,23,23,0,18.35,1010.8,0,4.58,121.61,6.32,124.7
2019,4,24,0,0,18.27,1010.1,0,5.74,138.53,8.12,142
2019,4,24,1,0,18.08,1009.4,0,6,143.13,8.29,146.31
2019,4,24,2,0,18.3,1009,0,5.91,151.7,8.41,154.65
2019,4,24,3,0,17.64,1008.7,0,5.82,155.64,8.52,157.95
2019,4,24,4,0,17.86,1008.1,0,6.05,157.67,8.64,159.68
2019,4,24,5,0,18.64,1007.8,0,6.8,160.23,9.11,162.76
2019,4,24,6,0,19.56,1007.7,7.12,7.21,163.07,9.26,166.26
2019,4,24,7,0,21.09,1007.7,138.84,7.63,169.43,9.52,170.93
2019,4,24,8,0,21.38,1007.9,72.09,6.5,180.88,8.3,180
2019,4,24,9,0,23.16,1008.1,301.71,5.63,196.5,6.5,194.25
2019,4,24,10,0,24.23,1008.2,588.29,5.35,212.8,6.09,209.51
2019,4,24,11,0,23.26,1008,501.07,5.32,221.19,5.7,217.87
2019,4,24,12,0,22.8,1008.1,266.11,5.2,217.97,5.33,214.29
2019,4,24,13,0,22.6,1008.2,262.55,5.16,211.53,5.46,208.44
2019,4,24,14,0,23.18,1007.9,334.64,5.1,214.62,5.27,213.39
2019,4,24,15,0,23.21,1008,397.83,5.49,213.11,5.75,211.48
2019,4,24,16,0,22.29,1007.9,270.56,5.48,218.33,5.78,217.27
2019,4,24,17,0,21.82,1008,169.1,5.38,223.49,5.95,222.27
2019,4,24,18,0,21.33,1008.1,134.39,5.17,227.35,5.52,226.47
2019,4,24,19,0,19.96,1008.1,56.96,4.32,227.82,5.09,226.59
2019,4,24,20,0,19.27,1008.3,0,3.89,228.12,4.67,226.74
2019,4,24,21,0,18.62,1008.6,0,3.54,227.29,4.31,225.94
2019,4,24,22,0,18.26,1008.8,0,3.16,235.3,3.88,235.49
2019,4,24,23,0,17.19,1008.8,0,3.09,245.1,3.99,247.93
