lons,lats,radiation FH0-1W/m2(avg),radiation FH1-2W/m2(avg),radiation FH2-3W/m2(avg),radiation FH3-4W/m2(avg),radiation FH4-5W/m2(avg),radiation FH5-6W/m2(avg),radiation FH6-7W/m2(avg),radiation FH7-8W/m2(avg),radiation FH8-9W/m2(avg),radiation FH9-10W/m2(avg),radiation FH10-11W/m2(avg),radiation FH11-12W/m2(avg),radiation FH12-13W/m2(avg),radiation FH13-14W/m2(avg),radiation FH14-15W/m2(avg)
129.44,34.1,515.23,627.93,706.67,723.78,758.44,621.6,507.28,399.03,248.63,87.25,3.34,0.0,0.0,0.0,0.0
129.5,34.1,516.23,638.93,701.17,724.78,754.44,612.35,509.78,401.53,248.38,86.75,3.22,0.0,0.0,0.0,0.0
129.56,34.1,513.98,642.93,692.17,723.03,744.94,606.85,514.78,400.78,247.88,85.5,3.09,0.0,0.0,0.0,0.0
129.62,34.1,511.73,643.18,677.67,720.03,730.44,602.1,518.53,399.03,246.63,84.5,3.0,0.0,0.0,0.0,0.0
129.69,34.1,506.48,640.18,665.67,718.78,713.19,600.6,518.78,399.78,244.25,82.88,2.88,0.0,0.0,0.0,0.0
129.75,34.1,499.98,635.43,657.42,719.28,695.94,600.35,517.78,401.78,241.88,80.5,2.72,0.0,0.0,0.0,0.0
129.81,34.1,493.48,631.43,654.42,715.28,681.69,600.85,517.28,404.03,239.63,78.25,2.59,0.0,0.0,0.0,0.0
129.88,34.1,486.98,627.93,653.42,705.28,672.44,601.85,517.78,404.53,236.63,76.25,2.41,0.0,0.0,0.0,0.0
129.94,34.1,479.23,616.18,656.17,695.53,667.94,600.35,517.28,402.53,232.38,72.88,2.31,0.0,0.0,0.0,0.0
130.0,34.1,470.48,596.43,662.67,684.53,670.19,595.6,517.78,398.53,227.75,70.75,2.22,0.0,0.0,0.0,0.0
130.06,34.1,458.98,573.43,663.42,675.03,673.19,589.85,517.78,394.78,223.25,68.25,2.12,0.0,0.0,0.0,0.0
130.12,34.1,446.73,551.68,660.42,671.78,678.94,584.1,518.53,391.78,218.25,66.0,2.03,0.0,0.0,0.0,0.0
130.19,34.1,434.73,537.18,654.92,674.28,684.69,580.85,520.28,389.53,213.38,63.88,1.94,0.0,0.0,0.0,0.0
130.25,34.1,426.48,529.68,650.42,683.03,692.19,583.85,523.53,389.28,212.63,62.38,1.88,0.0,0.0,0.0,0.0
130.31,34.1,422.23,529.93,646.92,691.03,700.69,595.35,527.28,391.03,213.25,62.25,1.81,0.0,0.0,0.0,0.0
