lons,lats,temperature FH0,temperature FH1,temperature FH2,temperature FH3,temperature FH4,temperature FH5,temperature FH6,temperature FH7,temperature FH8,temperature FH9,temperature FH10,temperature FH11,temperature FH12,temperature FH13,temperature FH14,temperature FH15
129.44,34.1,19.76,19.9,19.78,19.73,19.83,19.92,19.89,19.96,20.07,20.13,20.2,20.16,20.14,20.1,20.03,19.98
129.5,34.1,19.77,19.96,19.85,19.73,19.81,19.93,19.89,19.98,20.1,20.18,20.25,20.19,20.17,20.12,20.04,20.01
129.56,34.1,19.77,19.98,19.92,19.76,19.81,19.94,19.91,20.0,20.12,20.21,20.27,20.2,20.19,20.13,20.06,20.01
129.62,34.1,19.74,19.95,19.97,19.77,19.78,19.93,19.91,19.99,20.12,20.2,20.26,20.19,20.16,20.12,20.03,20.0
129.69,34.1,19.73,19.91,20.0,19.77,19.74,19.91,19.9,19.96,20.1,20.18,20.23,20.16,20.12,20.08,19.98,19.95
129.75,34.1,19.7,19.86,20.02,19.78,19.71,19.87,19.89,19.93,20.07,20.15,20.19,20.12,20.08,20.03,19.93,19.89
129.81,34.1,19.69,19.8,20.0,19.78,19.69,19.82,19.87,19.88,20.02,20.1,20.14,20.06,20.01,19.95,19.86,19.82
129.88,34.1,19.67,19.76,19.96,19.8,19.67,19.76,19.85,19.85,19.97,20.04,20.07,19.99,19.92,19.85,19.78,19.75
129.94,34.1,19.67,19.72,19.92,19.85,19.67,19.73,19.82,19.82,19.91,19.99,20.02,19.92,19.83,19.74,19.67,19.64
130.0,34.1,19.69,19.69,19.87,19.9,19.68,19.7,19.81,19.8,19.87,19.95,20.0,19.88,19.75,19.63,19.57,19.54
130.06,34.1,19.7,19.67,19.84,19.91,19.69,19.69,19.79,19.79,19.83,19.92,19.98,19.88,19.69,19.56,19.5,19.46
130.12,34.1,19.73,19.66,19.79,19.9,19.7,19.66,19.75,19.78,19.79,19.88,19.94,19.88,19.66,19.54,19.47,19.42
