Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Radiation  [W],Wind Speed  [10 m above gnd]
2019,5,6,1,0,18.2,1,0,1
2019,5,6,2,0,18.3,1,0,1.5
2019,5,6,3,0,18.1,1,0,2.7
2019,5,6,4,0,18.1,1,0,2.1
2019,5,6,5,0,18.1,1,0,1.9
2019,5,6,6,0,18.1,1,5.555555556,1.2
2019,5,6,7,0,18.4,1,66.66666667,1.5
2019,5,6,8,0,20.1,1,263.8888889,0.9
2019,5,6,9,0,20.4,1,119.4444444,1.9
2019,5,6,10,0,20,1,72.22222222,0.9
2019,5,6,11,0,20.8,1,247.2222222,1.3
2019,5,6,12,0,22.9,1,666.6666667,1.9
2019,5,6,13,0,23,1,480.5555556,4.1
2019,5,6,14,0,21.8,1,597.2222222,5.5
2019,5,6,15,0,21.6,1,638.8888889,6.8
2019,5,6,16,0,21,1,475,5.3
2019,5,6,17,0,19.8,1,422.2222222,6.3
2019,5,6,18,0,18.3,1,213.8888889,7.6
2019,5,6,19,0,16.9,1,50,6.5
2019,5,6,20,0,16.3,1,0,5.7
2019,5,6,21,0,16.1,1,0,4.2
2019,5,6,22,0,15.7,1,0,4.4
2019,5,6,23,0,15.1,1,0,6.6
2019,5,7,0,0,14.8,1,0,5.5
2019,5,7,1,0,14.4,1,0,6.3
2019,5,7,2,0,14.1,1,0,2.4
2019,5,7,3,0,13.8,1,0,2.4
2019,5,7,4,0,13.4,1,0,2.5
2019,5,7,5,0,13.2,1,0,1.2
2019,5,7,6,0,13.7,1,13.88888889,2.4
2019,5,7,7,0,15.3,1,155.5555556,2.4
2019,5,7,8,0,16,1,386.1111111,2.2
2019,5,7,9,0,17.4,1,611.1111111,2.2
2019,5,7,10,0,19.3,1,797.2222222,4
2019,5,7,11,0,19.4,1,933.3333333,6
2019,5,7,12,0,19.5,1,1002.777778,7.5
2019,5,7,13,0,19.9,1,1011.111111,8.2
2019,5,7,14,0,19.5,1,969.4444444,7.2
2019,5,7,15,0,19.5,1,866.6666667,7
2019,5,7,16,0,19.3,1,702.7777778,6.1
2019,5,7,17,0,17.9,1,500,6.2
2019,5,7,18,0,17.4,1,277.7777778,5.3
2019,5,7,19,0,16.4,1,69.44444444,5.5
2019,5,7,20,0,15.9,1,0,3.2
2019,5,7,21,0,15.9,1,0,1.4
2019,5,7,22,0,14.8,1,0,1.5
2019,5,7,23,0,13.9,1,0,1.2
2019,5,8,0,0,13.4,1,0,0.8
2019,5,8,1,0,12.8,1,0,1.4
2019,5,8,2,0,11.5,1,0,0.5
2019,5,8,3,0,12.2,1,0,1.6
2019,5,8,4,0,11.5,1,0,1.7
2019,5,8,5,0,11,1,0,0.8
2019,5,8,6,0,10.9,1,16.66666667,1
2019,5,8,7,0,12.8,1,155.5555556,1
2019,5,8,8,0,15.3,1,375,0.6
2019,5,8,9,0,18.1,1,594.4444444,1.8
2019,5,8,10,0,20.5,1,777.7777778,2
2019,5,8,11,0,21.4,1,900,3.2
2019,5,8,12,0,22,1,933.3333333,5.4
2019,5,8,13,0,21.6,1,922.2222222,4.7
2019,5,8,14,0,21.3,1,819.4444444,3.9
2019,5,8,15,0,21.3,1,775,3.5
2019,5,8,16,0,20.6,1,477.7777778,3.5
2019,5,8,17,0,20,1,286.1111111,3.7
2019,5,8,18,0,19.2,1,175,3.7
2019,5,8,19,0,18.3,1,36.11111111,2.1
2019,5,8,20,0,18.4,1,0,0.4
2019,5,8,21,0,18.6,1,0,1.3
2019,5,8,22,0,18.3,1,0,1
2019,5,8,23,0,18.1,1,0,1
2019,5,9,0,0,18,1,0,1
2019,5,9,1,0,18.1,1,0,1
2019,5,9,2,0,17.2,1,0,1.3
2019,5,9,3,0,16.5,1,0,0.8
2019,5,9,4,0,15.7,1,0,2.6
2019,5,9,5,0,15.4,1,0,3
2019,5,9,6,0,15.2,1,0,3.2
2019,5,9,7,0,15.2,1,22.22222222,2.7
2019,5,9,8,0,15.2,1,58.33333333,2.9
2019,5,9,9,0,16,1,166.6666667,3.3
2019,5,9,10,0,17.2,1,233.3333333,3.1
2019,5,9,11,0,19.8,1,497.2222222,3.6
2019,5,9,12,0,19.8,1,466.6666667,2.1
2019,5,9,13,0,21.6,1,844.4444444,4.1
2019,5,9,14,0,22.1,1,961.1111111,4.6
2019,5,9,15,0,21.7,1,727.7777778,4.9
2019,5,9,16,0,21.5,1,669.4444444,6.4
2019,5,9,17,0,20.1,1,461.1111111,4.9
2019,5,9,18,0,19.7,1,241.6666667,2.5
2019,5,9,19,0,19.2,1,50,2.1
2019,5,9,20,0,18.5,1,0,2
2019,5,9,21,0,18.4,1,0,1
2019,5,9,22,0,17.8,1,0,1.2
2019,5,9,23,0,17.3,1,0,1.1
2019,5,10,0,0,16,1,0,0.7
2019,5,10,1,0,16,1,0,0.7
2019,5,10,2,0,15.4,1,0,0.4
2019,5,10,3,0,15,1,0,0.7
2019,5,10,4,0,14.6,1,0,1.1
2019,5,10,5,0,13.9,1,0,0.9
2019,5,10,6,0,14.5,1,11.11111111,0.9
2019,5,10,7,0,15.7,1,127.7777778,1.1
2019,5,10,8,0,18.9,1,352.7777778,1.1
2019,5,10,9,0,20.9,1,577.7777778,1.3
2019,5,10,10,0,23.5,1,786.1111111,1.6
2019,5,10,11,0,24.6,1,900,3.9
2019,5,10,12,0,25.6,1,1002.777778,5.5
2019,5,10,13,0,24.5,1,1016.666667,6.9
2019,5,10,14,0,24.1,1,969.4444444,5.1
2019,5,10,15,0,23,1,725,4.6
2019,5,10,16,0,23.4,1,583.3333333,4.4
2019,5,10,17,0,22.6,1,427.7777778,2.6
2019,5,10,18,0,21.8,1,225,2.4
2019,5,10,19,0,20.3,1,55.55555556,2.7
2019,5,10,20,0,19.9,1,0,2.3
2019,5,10,21,0,19.4,1,0,1.6
2019,5,10,22,0,19.1,1,0,0.9
2019,5,10,23,0,18.6,1,0,0.4
2019,5,11,0,0,18.2,1,0,0.8
2019,5,11,1,0,17.8,1,0,0.8
2019,5,11,2,0,17.2,1,0,0.1
2019,5,11,3,0,17.3,1,0,1
2019,5,11,4,0,16.9,1,0,1
2019,5,11,5,0,16.7,1,0,0.7
2019,5,11,6,0,16.1,1,13.88888889,0.2
2019,5,11,7,0,17.7,1,133.3333333,1.1
2019,5,11,8,0,19.9,1,338.8888889,0.9
2019,5,11,9,0,22.3,1,544.4444444,2
2019,5,11,10,0,23.2,1,727.7777778,2.9
2019,5,11,11,0,24.4,1,866.6666667,3.1
2019,5,11,12,0,23.5,1,950,4.9
2019,5,11,13,0,25,1,969.4444444,4.8
2019,5,11,14,0,24.2,1,900,4.4
2019,5,11,15,0,24.5,1,797.2222222,3.7
2019,5,11,16,0,23.1,1,625,3.9
2019,5,11,17,0,22.3,1,419.4444444,5.1
2019,5,11,18,0,21.1,1,188.8888889,3
2019,5,11,19,0,20.4,1,47.22222222,3
2019,5,11,20,0,20.5,1,0,1.6
2019,5,11,21,0,20.2,1,0,1.2
2019,5,11,22,0,19.8,1,0,1.7
2019,5,11,23,0,19.6,1,0,0.8
2019,5,12,0,0,19.1,1,0,0.8
2019,5,12,1,0,18.5,1,0,0.4
2019,5,12,2,0,18.5,1,0,1.1
2019,5,12,3,0,18.9,1,0,1.4
2019,5,12,4,0,18.8,1,0,1.7
2019,5,12,5,0,18.4,1,0,0.4
2019,5,12,6,0,18.1,1,11.11111111,0.9
2019,5,12,7,0,19.1,1,122.2222222,0.5
2019,5,12,8,0,20.3,1,241.6666667,0.2
2019,5,12,9,0,21.1,1,430.5555556,2.6
2019,5,12,10,0,23.2,1,644.4444444,2.3
2019,5,12,11,0,24.7,1,763.8888889,2.9
2019,5,12,12,0,25.1,1,936.1111111,4
2019,5,12,13,0,24.2,1,958.3333333,4.9
2019,5,12,14,0,22.1,1,777.7777778,5.7
2019,5,12,15,0,21.5,1,263.8888889,3.9
2019,5,12,16,0,20.9,1,238.8888889,4.5
2019,5,12,17,0,20.2,1,133.3333333,3.8
2019,5,12,18,0,20.2,1,63.88888889,2.5
2019,5,12,19,0,19.7,1,19.44444444,1.8
2019,5,12,20,0,19.3,1,0,2.7
2019,5,12,21,0,18.9,1,0,2.4
2019,5,12,22,0,18.7,1,0,1.1
2019,5,12,23,0,18.7,1,0,1.8
2019,5,13,0,0,18.3,1,0,1.1
