Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd]
2017,1,1,0,0,3.38,1031.9,0,1.66,122.74,0.92,139.4
2017,1,1,1,0,3.39,1031.1,0,1.78,128.16,1,143.13
2017,1,1,2,0,3.45,1029.9,0,1.57,116.57,1.03,119.05
2017,1,1,3,0,2.98,1030.2,0,1.8,109.44,0.7,180
2017,1,1,4,0,2.49,1029.9,0,1.88,115.2,1.26,198.43
2017,1,1,5,0,2.25,1028.8,0,2.18,105.95,1.34,153.43
2017,1,1,6,0,1.89,1028.5,0,2.31,107.65,1.92,152.1
2017,1,1,7,0,1.65,1028.1,0,2.46,116.57,2.64,150.52
2017,1,1,8,0,1.75,1028.2,20.47,2.56,120.58,2.66,145.71
2017,1,1,9,0,2.12,1027.3,136.17,2.42,114.44,2.48,139.9
2017,1,1,10,0,3.23,1027,241.19,1.97,113.96,2.33,120.96
2017,1,1,11,0,4.29,1025.7,311.5,1.57,116.57,2.42,119.74
2017,1,1,12,0,4.59,1022.7,338.2,1.1,90,1.4,94.09
2017,1,1,13,0,5.41,1023,318.62,0.36,33.69,0.32,71.57
2017,1,1,14,0,5.61,1022.4,253.65,0.28,315,0.4,270
2017,1,1,15,0,5.31,1022.7,150.41,0.1,90,0.71,225
2017,1,1,16,0,4.98,1023.1,32.93,1,126.87,1.26,198.43
2017,1,1,17,0,4.88,1022.7,0,1.48,118.3,1.4,180
2017,1,1,18,0,4.26,1022.4,0,1.75,120.96,1.71,159.44
2017,1,1,19,0,3.47,1022.9,0,1.94,124.51,2.22,144.16
2017,1,1,20,0,3.2,1023.4,0,1.77,132.71,2.02,147.09
2017,1,1,21,0,3.02,1022.9,0,1.7,139.76,1.75,210.96
2017,1,1,22,0,2.9,1022.9,0,1.56,140.19,2.05,226.97
2017,1,1,23,0,2.68,1023.8,0,1.35,138.01,1.35,228.01
2017,1,2,0,0,2.43,1023.3,0,1.08,146.31,1.12,243.43
2017,1,2,1,0,2.34,1023.6,0,0.85,159.44,1.36,252.9
2017,1,2,2,0,2.14,1023,0,0.72,213.69,2.6,267.8
2017,1,2,3,0,1.99,1023.6,0,1.32,261.25,3.52,276.52
2017,1,2,4,0,2.07,1023.7,0,2.12,278.13,4.04,278.53
2017,1,2,5,0,2.41,1023.8,0,1.7,270,2.71,274.24
2017,1,2,6,0,2.27,1023.9,0,1.66,244.98,2.47,255.96
2017,1,2,7,0,2.23,1023.9,0,1.94,258.11,3.52,263.48
2017,1,2,8,0,2.2,1025.1,14.24,2.01,264.29,2.81,265.91
2017,1,2,9,0,3.04,1025.4,87.22,2.81,265.91,2.92,264.09
2017,1,2,10,0,3.92,1025.2,171.77,4.61,266.27,4.93,264.17
