Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd]
2019,4,21,0,0,15.1,1013.5,0,1.14,164.74,1.7,176.63
2019,4,21,1,0,14.64,1013.6,0,1.51,172.41,2.2,182.6
2019,4,21,2,0,13.91,1013.3,0,1.73,169.99,2.42,187.13
2019,4,21,3,0,13.37,1013.2,0,1.73,169.99,2.33,189.87
2019,4,21,4,0,12.92,1013,0,1.63,169.38,2.02,200.22
2019,4,21,5,0,12.53,1013.1,0,1.77,163.61,1.99,197.53
2019,4,21,6,0,12.4,1013.3,3.56,1.71,159.44,1.65,194.04
2019,4,21,7,0,14.73,1013.3,131.72,1.22,145.01,1.3,184.4
2019,4,21,8,0,18.01,1013.6,336.42,0.42,225,0.58,239.04
2019,4,21,9,0,19.32,1013.9,529.55,1.57,296.57,1.71,290.56
2019,4,21,10,0,20.37,1014.1,689.75,1.3,292.62,1.2,274.76
2019,4,21,11,0,21.22,1013.5,801.89,2.51,298.61,2.53,288.43
2019,4,21,12,0,21.45,1013.3,867.75,3.69,302.83,3.62,294.44
2019,4,21,13,0,20.93,1013.3,875.76,4.26,309.29,4.19,303.31
2019,4,21,14,0,20.42,1013.2,818.8,4.53,313.21,4.12,309.09
2019,4,21,15,0,20.18,1013.3,736.03,4.25,311.19,4.16,305.22
2019,4,21,16,0,19.81,1012.9,606.09,3.69,310.6,3.74,304.11
2019,4,21,17,0,19.23,1012.8,435.21,3.04,313.67,3.34,308.93
2019,4,21,18,0,18.21,1012.9,252.76,2.2,320.53,2.4,315
2019,4,21,19,0,16,1012.8,65.86,1.3,327.53,1.91,317.12
2019,4,21,20,0,15.96,1013.1,0,0.89,333.43,1.58,325.3
2019,4,21,21,0,15.9,1013.7,0,0.89,333.43,1.84,330.64
2019,4,21,22,0,16,1013.9,0,1.02,348.69,1.4,355.91
2019,4,21,23,0,16.17,1013.9,0,0.8,360,1.3,360
2019,4,22,0,0,16.43,1013.7,0,0.71,351.87,1.4,4.09
2019,4,22,1,0,16.24,1013.7,0,0.94,327.99,1.63,349.38
2019,4,22,2,0,15.73,1013.9,0,1.34,333.43,2.14,349.22
2019,4,22,3,0,15.55,1014,0,1.02,348.69,1.92,8.97
2019,4,22,4,0,15.58,1014,0,0.61,9.46,1.75,30.96
2019,4,22,5,0,15.45,1014.2,0,0.67,26.57,2.05,43.03
2019,4,22,6,0,15.53,1014.4,5.34,0.82,14.04,2.48,40.1
2019,4,22,7,0,16.89,1014.6,141.51,1,5.71,2.19,43.15
2019,4,22,8,0,19.41,1014.9,343.54,2.15,21.8,2.25,32.28
2019,4,22,9,0,21.82,1015,526.88,3.47,33.23,3.55,40.43
2019,4,22,10,0,23.68,1014.9,680.85,2.68,26.57,2.44,34.99
2019,4,22,11,0,24.79,1014.7,792.1,3.42,15.26,2.79,21.04
2019,4,22,12,0,25.17,1014.5,880.21,4.2,2.73,3.03,7.59
2019,4,22,13,0,24.72,1014.6,898.01,5.02,4.57,3.96,10.18
2019,4,22,14,0,24.82,1014.5,857.96,5.23,6.58,4.37,15.95
2019,4,22,15,0,24.34,1014.5,751.16,5.12,5.6,4.34,14.68
2019,4,22,16,0,23.54,1014.6,619.44,4.71,3.65,3.83,15.12
2019,4,22,17,0,22.38,1014.7,452.12,4.1,2.79,3.08,13.13
2019,4,22,18,0,20.47,1015.1,260.77,3.2,1.79,2.15,27.76
2019,4,22,19,0,17.76,1015.4,67.64,1.7,360,2,53.13
2019,4,22,20,0,16.93,1015.9,0,1.04,16.7,1.99,72.47
2019,4,22,21,0,16.28,1016.1,0,0.85,69.44,2.42,82.87
2019,4,22,22,0,16.76,1016.2,0,1.39,21.04,2.06,39.09
2019,4,22,23,0,16.99,1016.1,0,0.81,60.26,1.82,80.54
2019,4,23,0,0,17,1015.7,0,0.76,113.2,1.88,115.2
2019,4,23,1,0,17.22,1015.8,0,0.92,130.6,1.91,137.12
2019,4,23,2,0,17.07,1015.8,0,1.35,138.01,2.3,145.62
2019,4,23,3,0,17.23,1015.5,0,1.77,137.29,2.69,138.01
2019,4,23,4,0,17.41,1015.3,0,2.05,133.03,2.7,141.01
2019,4,23,5,0,17.17,1015.5,0,2.28,127.87,2.73,151.56
2019,4,23,6,0,17.2,1015.6,3.56,2.42,128.29,2.97,147.38
2019,4,23,7,0,19.26,1015.4,90.78,2.92,120.96,3.44,125.54
2019,4,23,8,0,21.98,1015.1,236.74,3.58,120.14,3.35,116.57
2019,4,23,9,0,23.34,1015.1,377.36,3.22,126.16,2.92,128.05
2019,4,23,10,0,23.83,1015.1,357.78,2.66,124.29,2.36,126.38
2019,4,23,11,0,24.45,1014.7,267,2.56,120.58,2.46,116.57
2019,4,23,12,0,24.51,1015,328.41,2.6,157.38,2.82,163.5
2019,4,23,13,0,24.27,1015.1,187.79,1.9,180,2.14,190.78
2019,4,23,14,0,23.15,1014.9,156.64,2.39,213.02,3.12,219.81
2019,4,23,15,0,20.34,1015.9,64.08,3.55,237.65,5.1,241.93
2019,4,23,16,0,18.73,1016,45.39,1.86,233.75,2.52,236.31
2019,4,23,17,0,18.91,1015.3,66.75,1.51,97.59,1.32,98.75
2019,4,23,18,0,19.43,1014.9,66.75,3.58,112.99,4.57,118.81
2019,4,23,19,0,18.63,1014,10.68,4.48,113.7,6.4,114.96
2019,4,23,20,0,18.42,1013.4,0,5.08,100.2,7.23,104.42
2019,4,23,21,0,18.33,1013.2,0,4.72,111.12,6.57,116.18
2019,4,23,22,0,18.4,1012.7,0,6.48,116.57,8.94,121.73
2019,4,23,23,0,18.24,1012.5,0,7.01,132.11,10.11,135.4
