Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Radiation  [W],Wind Speed  [10 m above gnd]
2017,1,1,0,0,5.6,1028.4,0,1.5
2017,1,1,1,0,5.5,1028.7,0,1.2
2017,1,1,2,0,6.1,1029.1,0,0.9
2017,1,1,3,0,6.2,1028.8,0,1.1
2017,1,1,4,0,5.7,1028.2,0,1.8
2017,1,1,5,0,5.5,1028.5,0,1.6
2017,1,1,6,0,5.1,1028.9,0,1.8
2017,1,1,7,0,5.4,1029.5,11.112,2.5
2017,1,1,8,0,6.3,1029.8,147.234,2.4
2017,1,1,9,0,9.1,1030.5,336.138,1.5
2017,1,1,10,0,9.8,1030.2,327.804,1.6
2017,1,1,11,0,11.5,1029,522.264,1.3
2017,1,1,12,0,12.5,1028,586.158,0.7
2017,1,1,13,0,12.9,1027.5,538.932,3
2017,1,1,14,0,12.3,1027.1,436.146,2.9
2017,1,1,15,0,12.3,1026.8,280.578,2.6
2017,1,1,16,0,10.8,1026.7,80.562,1.6
2017,1,1,17,0,9.3,1026.2,5.556,1
2017,1,1,18,0,8.6,1026.1,0,1.5
2017,1,1,19,0,7.7,1025.8,0,1
2017,1,1,20,0,7,1025.7,0,1.3
2017,1,1,21,0,7.4,1025.1,0,0.9
2017,1,1,22,0,6,1024.7,0,0.8
2017,1,1,23,0,6.3,1024,0,2.3
2017,1,2,0,0,6.2,1024.6,0,1.6
2017,1,2,1,0,6.4,1024.3,0,1.8
2017,1,2,2,0,5.8,1023.7,0,2.9
2017,1,2,3,0,6,1023.7,0,1.5
2017,1,2,4,0,6.7,1023.6,0,2.6
2017,1,2,5,0,6.8,1023.3,0,1.5
2017,1,2,6,0,6.9,1023.6,0,1.8
2017,1,2,7,0,7.2,1023.6,5.556,2.1
2017,1,2,8,0,7.9,1023.4,30.558,3
2017,1,2,9,0,8.5,1023.7,44.448,2.1
2017,1,2,10,0,9.5,1023.2,111.12,1.7
2017,1,2,11,0,10.6,1022.7,136.122,1.1
2017,1,2,12,0,10.8,1021.8,108.342,1.1
2017,1,2,13,0,9.7,1021.7,25.002,1.5
2017,1,2,14,0,9.9,1021.7,33.336,1.1
2017,1,2,15,0,10.7,1021.2,52.782,1.9
2017,1,2,16,0,10.3,1021.6,16.668,1.4
2017,1,2,17,0,9.6,1022,2.778,1.2
2017,1,2,18,0,9.4,1021.9,0,1.8
2017,1,2,19,0,8.9,1021.8,0,2.1
2017,1,2,20,0,7.7,1021.7,0,1.3
2017,1,2,21,0,8,1021.6,0,1.8
2017,1,2,22,0,6.9,1021.7,0,1.3
2017,1,2,23,0,6.9,1021.5,0,1.3
2017,1,3,0,0,6.5,1021.1,0,1.4
2017,1,3,1,0,7.1,1021.2,0,1.5
2017,1,3,2,0,6.7,1021.4,0,1.5
2017,1,3,3,0,7.2,1021.6,0,1.3
2017,1,3,4,0,7.2,1021.7,0,1.5
2017,1,3,5,0,7.2,1022.1,0,1.8
2017,1,3,6,0,6.3,1022.6,0,1
2017,1,3,7,0,6,1023,11.112,1.3
2017,1,3,8,0,7.3,1023.1,136.122,1.2
2017,1,3,9,0,10,1023.6,263.91,1.3
2017,1,3,10,0,12.1,1023.4,400.032,0.5
2017,1,3,11,0,13,1022.8,500.04,3.3
2017,1,3,12,0,13.9,1022.2,538.932,4.8
2017,1,3,13,0,14.5,1021.9,552.822,3.4
2017,1,3,14,0,13.6,1021.9,463.926,3.6
2017,1,3,15,0,13,1022,300.024,3.2
2017,1,3,16,0,11.3,1022,88.896,2.2
2017,1,3,17,0,9.3,1022.3,5.556,0.9
2017,1,3,18,0,9.1,1022.8,0,1.5
2017,1,3,19,0,7.7,1022.9,0,1.4
2017,1,3,20,0,8.2,1022.8,0,1.2
2017,1,3,21,0,6.6,1022.9,0,1.4
2017,1,3,22,0,6,1022.9,0,1
2017,1,3,23,0,6.7,1022.5,0,1.9
2017,1,4,0,0,6.4,1022.1,0,2.7
2017,1,4,1,0,6.5,1022.3,0,1.4
2017,1,4,2,0,6.5,1022.3,0,1.1
2017,1,4,3,0,6.4,1022.3,0,2.5
2017,1,4,4,0,6.2,1022.1,0,1.9
2017,1,4,5,0,5.9,1022.1,0,1.9
2017,1,4,6,0,6.3,1022.5,0,1.8
2017,1,4,7,0,6.2,1023.2,13.89,1.6
2017,1,4,8,0,7.6,1023.3,144.456,1.9
2017,1,4,9,0,10.6,1023.6,336.138,2.1
2017,1,4,10,0,12.7,1022.7,419.478,1.7
