Time,Year,Month,Day,Hour,Minute,Realtime wind speed,Forecast wind speed
2019/6/17 0:00,2019,6,17,0,0,1.5,1.539670193
2019/6/17 1:00,2019,6,17,1,0,1,1.602269831
2019/6/17 2:00,2019,6,17,2,0,0.9,1.425373801
2019/6/17 3:00,2019,6,17,3,0,1.1,1.10537181
2019/6/17 4:00,2019,6,17,4,0,0.8,0.353996282
2019/6/17 5:00,2019,6,17,5,0,1.4,0.868530666
2019/6/17 6:00,2019,6,17,6,0,2.2,1.282909575
2019/6/17 7:00,2019,6,17,7,0,0.8,1.7139294
2019/6/17 8:00,2019,6,17,8,0,1.1,1.304500229
2019/6/17 9:00,2019,6,17,9,0,1.5,0.793919363
2019/6/17 10:00,2019,6,17,10,0,1.4,1.004503407
2019/6/17 11:00,2019,6,17,11,0,3.1,0.903672206
2019/6/17 12:00,2019,6,17,12,0,4.4,2.479245981
2019/6/17 13:00,2019,6,17,13,0,4.4,3.017525049
2019/6/17 14:00,2019,6,17,14,0,4.9,3.171855997
2019/6/17 15:00,2019,6,17,15,0,4.5,3.697628821
2019/6/17 16:00,2019,6,17,16,0,4.6,3.960915718
2019/6/17 17:00,2019,6,17,17,0,4.4,3.507492902
2019/6/17 18:00,2019,6,17,18,0,4.3,2.418759122
2019/6/17 19:00,2019,6,17,19,0,2.7,1.939440103
2019/6/17 20:00,2019,6,17,20,0,2,1.907310505
2019/6/17 21:00,2019,6,17,21,0,2.1,2.073230353
2019/6/17 22:00,2019,6,17,22,0,1.7,1.930786208
2019/6/17 23:00,2019,6,17,23,0,1,1.261561375
2019/6/18 0:00,2019,6,18,0,0,1.5,1.323526423
2019/6/18 1:00,2019,6,18,1,0,1,1.349497017
2019/6/18 2:00,2019,6,18,2,0,1.1,1.193323861
2019/6/18 3:00,2019,6,18,3,0,1.2,1.215937374
2019/6/18 4:00,2019,6,18,4,0,1.2,1.397337261
2019/6/18 5:00,2019,6,18,5,0,1.6,1.191246006
2019/6/18 6:00,2019,6,18,6,0,1.7,0.870192595
2019/6/18 7:00,2019,6,18,7,0,1.8,0.931222269
2019/6/18 8:00,2019,6,18,8,0,1.6,0.890083627
2019/6/18 9:00,2019,6,18,9,0,1.3,1.049557653
2019/6/18 10:00,2019,6,18,10,0,1.7,0.406783988
2019/6/18 11:00,2019,6,18,11,0,2.1,1.314529262
2019/6/18 12:00,2019,6,18,12,0,1.4,1.552036989
2019/6/18 13:00,2019,6,18,13,0,1.8,0.708624846
2019/6/18 14:00,2019,6,18,14,0,2.5,0.566419041
2019/6/18 15:00,2019,6,18,15,0,1.3,1.665388217
2019/6/18 16:00,2019,6,18,16,0,1.9,2.049938939
2019/6/18 17:00,2019,6,18,17,0,1.2,2.374034858
2019/6/18 18:00,2019,6,18,18,0,1.7,3.346099379
2019/6/18 19:00,2019,6,18,19,0,1.9,2.689349022
2019/6/18 20:00,2019,6,18,20,0,2,1.59704549
2019/6/18 21:00,2019,6,18,21,0,1.6,0.439818005
2019/6/18 22:00,2019,6,18,22,0,1,0.344270153
2019/6/18 23:00,2019,6,18,23,0,2.2,0.302820503
2019/6/19 0:00,2019,6,19,0,0,1.7,0.832300045
2019/6/19 1:00,2019,6,19,1,0,1.6,0.668535138
2019/6/19 2:00,2019,6,19,2,0,2.4,0.489066857
2019/6/19 3:00,2019,6,19,3,0,1.7,0.526403964
2019/6/19 4:00,2019,6,19,4,0,1.3,0.688418086
2019/6/19 5:00,2019,6,19,5,0,0.8,0.900621628
2019/6/19 6:00,2019,6,19,6,0,0.6,1.638487326
2019/6/19 7:00,2019,6,19,7,0,1.3,1.704649498
2019/6/19 8:00,2019,6,19,8,0,0.6,1.423628641
2019/6/19 9:00,2019,6,19,9,0,2.8,0.977215458
2019/6/19 10:00,2019,6,19,10,0,2.6,1.287793422
2019/6/19 11:00,2019,6,19,11,0,4.1,2.606410684
2019/6/19 12:00,2019,6,19,12,0,4.2,4.024424623
2019/6/19 13:00,2019,6,19,13,0,5,4.79140078
2019/6/19 14:00,2019,6,19,14,0,5,4.872968472
2019/6/19 15:00,2019,6,19,15,0,6.3,4.85737253
2019/6/19 16:00,2019,6,19,16,0,4.9,4.831882876
2019/6/19 17:00,2019,6,19,17,0,3.1,5.141987872
2019/6/19 18:00,2019,6,19,18,0,3.6,4.186562458
