Date,Weekday,Month,Day,Hour,Real_Temperature(2m)[ÅãC],Real_Radiation[W/m2],Real_Wind Speed(10m)[m/s],Real_Tc(the PV cell temperature)[ÅãC],Real_Ppv(the output of the PV array)[Wh/m2],Forecast_Temperature(2m)[ÅãC],Forecast_Radiation[W/m2],Forecast_Wind Speed(10m)[m/s],Forecast_Tc(the PV cell temperature)[ÅãC],Forecast_Ppv(the output of the PV array)[Wh/m2]
2019/6/17 0:00,25,6,17,0,19.5,0,1.5,19.5,0,19.58598877,0,1.539670193,19.58598877,0
2019/6/17 1:00,25,6,17,1,19.1,0,1,19.1,0,19.42360474,0,1.602269831,19.42360474,0
2019/6/17 2:00,25,6,17,2,18.4,0,0.9,18.4,0,19.16841675,0,1.425373801,19.16841675,0
2019/6/17 3:00,25,6,17,3,18.6,0,1.1,18.6,0,18.95812012,0,1.10537181,18.95812012,0
2019/6/17 4:00,25,6,17,4,18.5,0,0.8,18.5,0,18.67070557,0,0.353996282,18.67070557,0
2019/6/17 5:00,25,6,17,5,18,19.4446,1.4,18.49851872,3.350410183,18.81596924,0,0.868530666,18.81596924,0
2019/6/17 6:00,25,6,17,6,17.8,113.8898,2.2,18.27776189,3.212707737,18.79320312,22.875,1.282909575,19.29079232,3.337440192
2019/6/17 7:00,25,6,17,7,19,313.8914,0.8,23.77017365,31.63021586,18.69630981,137.6874939,1.7139294,21.63779307,19.61144399
2019/6/17 8:00,25,6,17,8,20.9,413.8922,1.1,28.94235184,52.61811405,19.10674072,293.8328321,1.304500229,25.29102506,40.84655103
2019/6/17 9:00,25,6,17,9,22,530.5598,1.5,33.12803906,72.01229355,19.9247644,468.4567852,0.793919363,29.88432364,65.00169939
2019/6/17 10:00,25,6,17,10,23.7,813.8954,1.4,41.35863786,111.7948479,20.99864746,537.7987432,1.004503407,32.78650022,76.3507685
2019/6/17 11:00,25,6,17,11,25.4,938.8964,3.1,46.25134941,130.2677599,21.47777344,635.8510151,0.903672206,35.62286041,90.93455036
